;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraft-
omni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahr-
zeug-
anh‰nger"
;RB ZUSAMMEN;;141.600;137.505;1.516;2.579;20.330;1.182.357;410.911;577.247;185.990;8.209;61.040;165.661;20.408;454;116.332;400.927;634;1.710;71.926;22.889;36.578;877;4.051;1.258;2.085;4.158;30;98.871;4.741;64.728;2.776;6.773;179.280;1.503.237;806;232.904
BADEN-W‹RTEMBERG INSGESAMT;;;723.345;702.705;8.568;12.072;99.317;6.802.786;2.330.556;3.344.866;1.071.807;55.557;365.436;939.917;101.862;2.452;797.855;2.276.872;613;8.272;403.421;136.394;196.320;5.272;24.383;8.544;11.248;21.096;164;387.359;24.520;245.152;11.473;35.204;834.256;8.360.387;753;1.076.828
BAYERN;RB OBERBAYERN                    ;09161  INGOLSTADT,STADT                 ;8.683;8.469;117;97;1.016;97.429;28.424;50.155;16.783;2.067;4.043;22.518;1.086;47;32.311;22.038;709;240;3.575;1.278;1.775;32;182;71;75;162;-;1.515;138;992;68;588;5.918;112.030;815;8.987
;;09162  MUENCHEN,STADT                   ;66.799;65.356;993;450;9.020;732.045;193.974;390.789;138.877;8.405;44.467;141.269;11.260;280;210.110;197.383;493;1.430;42.913;14.780;23.098;326;2.132;621;608;1.328;20;4.763;741;2.737;383;5.900;55.006;853.850;575;42.526
;;09163  ROSENHEIM,STADT                  ;3.683;3.582;52;49;512;35.450;12.184;17.032;5.979;255;1.559;5.822;652;37;5.253;12.091;558;34;2.456;863;1.205;42;102;56;75;113;-;646;34;452;39;408;3.544;42.677;672;3.789
;;09171  ALTOETTING                       ;9.314;8.982;95;237;1.247;72.118;23.763;37.035;10.873;447;3.404;10.206;1.203;34;5.656;24.479;647;130;4.346;1.504;2.174;27;197;61;104;276;3;5.983;230;4.494;151;548;11.007;92.439;829;14.832
;;09172  BERCHTESGADENER LAND             ;8.403;8.168;74;161;1.009;66.163;25.015;31.369;9.325;454;2.505;14.360;1.356;27;6.325;22.209;625;98;3.738;1.327;1.817;68;163;102;102;158;1;4.933;110;3.438;143;451;9.220;83.786;791;10.411
;;09173  BAD TOELZ-WOLFRATSHAUSEN         ;10.604;10.280;119;205;1.423;81.556;27.351;39.435;14.185;585;4.042;17.280;2.019;21;7.923;29.150;638;26;5.940;2.013;3.189;41;232;85;114;264;2;6.836;124;4.812;170;574;13.376;105.536;825;13.984
;;09174  DACHAU                           ;13.114;12.701;175;238;1.869;94.258;31.112;46.706;15.759;681;5.286;13.878;1.671;27;8.567;31.963;609;154;6.340;2.108;3.254;54;332;182;142;264;4;6.124;369;4.309;219;605;13.223;120.595;779;15.941
;;09175  EBERSBERG                        ;10.395;10.096;138;161;1.382;86.445;27.863;42.955;14.815;812;5.156;14.579;1.645;19;8.735;29.814;602;146;5.238;1.691;2.626;47;249;120;167;335;3;5.744;336;4.359;110;459;11.587;108.427;755;12.001
;;09176  EICHSTAETT                       ;12.971;12.431;176;364;1.508;85.829;28.620;44.715;11.995;499;3.610;14.226;1.388;28;4.852;25.050;646;119;4.574;1.479;2.266;48;248;101;168;263;1;10.265;361;7.493;397;548;15.506;114.306;860;20.160
;;09177  ERDING                           ;11.880;11.388;119;373;1.539;90.313;29.305;46.143;14.257;608;4.556;13.458;1.310;23;6.791;30.659;654;126;5.990;1.953;2.836;59;291;121;272;457;1;10.093;319;7.184;216;749;16.958;119.151;862;16.778
;;09178  FREISING                         ;14.148;13.646;220;282;1.894;110.323;34.175;56.628;18.394;1.126;5.794;15.889;1.742;37;10.942;36.242;613;172;7.812;2.534;3.794;69;467;254;236;456;2;9.010;486;6.395;211;792;17.786;142.257;790;17.837
;;09179  FUERSTENFELDBRUCK                ;15.138;14.726;223;189;2.265;124.513;42.647;60.106;20.823;937;6.980;17.746;2.624;27;10.297;43.522;568;128;7.985;2.749;4.096;67;378;146;244;300;5;4.530;128;2.999;174;639;13.282;152.933;697;17.298
