;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraft-
omni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahr-
zeug-
anh‰nger"
;;05358  DUEREN                           ;16.366;15.904;155;307;2.324;166.284;64.829;78.148;22.163;1.144;10.100;16.434;2.440;79;12.225;60.358;628;419;10.156;3.731;4.955;166;503;126;270;399;6;5.859;831;3.933;298;916;17.350;200.000;756;26.845
;;05362  RHEIN-ERFT-KREIS                 ;25.445;24.783;316;346;3.537;285.293;112.695;132.715;38.487;1.396;17.799;28.091;3.925;110;24.353;104.384;606;421;19.767;7.137;8.997;214;1.285;481;645;996;12;4.754;1.467;2.639;279;1.319;26.261;336.999;716;29.962
;;05366  EUSKIRCHEN                       ;12.451;11.930;124;397;1.709;135.054;50.303;65.411;18.559;781;7.243;16.175;2.124;52;15.474;45.949;697;250;8.901;3.050;4.630;76;513;126;154;348;4;8.079;602;5.644;471;694;17.924;165.429;854;25.777
;;05370  HEINSBERG                        ;14.790;14.322;175;293;2.135;163.836;61.673;77.081;24.228;854;9.631;16.721;2.573;48;11.943;58.589;641;316;10.169;3.451;5.221;130;524;150;195;496;2;5.445;711;3.874;233;734;16.664;195.290;764;29.898
;;05374  OBERBERGISCHER KREIS             ;16.572;15.899;170;503;2.243;179.557;69.763;84.318;24.544;932;9.323;25.204;2.683;78;15.097;63.644;660;368;10.630;3.844;5.134;145;628;187;268;416;8;8.408;424;5.819;610;783;20.189;216.318;795;27.800
;;05378  RHEIN.-BERGISCHER KREIS          ;18.533;18.037;184;312;2.740;183.292;71.855;83.581;26.481;1.375;12.438;22.650;2.949;69;15.116;70.119;647;174;9.968;3.750;5.026;105;539;139;163;243;3;3.718;236;2.592;273;658;14.518;216.343;764;20.979
;;05382  RHEIN-SIEG-KREIS                 ;36.261;35.218;415;628;5.070;373.636;143.665;175.188;52.544;2.239;23.708;40.825;5.440;166;28.366;138.072;622;488;22.164;8.772;10.091;263;1.255;419;427;926;11;10.525;1.162;7.123;536;1.856;35.033;444.930;741;46.885
;RB ZUSAMMEN;;226.513;220.194;2.563;3.756;31.433;2.544.845;970.524;1.206.032;352.159;16.130;150.663;277.783;35.985;1.135;298.368;892.074;568;4.460;229.820;109.158;92.866;3.672;9.389;4.151;4.041;6.422;121;57.298;9.025;36.843;3.374;12.544;304.122;3.075.480;687;295.305
;RB MUENSTER                      ;05512  BOTTROP,STADT                    ;6.385;6.251;62;72;851;69.565;29.432;31.055;8.734;344;3.677;6.046;684;20;4.680;25.722;592;53;3.500;1.072;1.743;64;323;102;104;92;-;790;261;407;41;257;4.600;80.550;685;5.939
;;05513  GELSENKIRCHEN,STADT              ;9.419;9.137;133;149;1.232;124.514;51.756;56.556;15.721;481;5.219;9.927;896;79;11.023;42.520;480;353;7.642;2.596;3.780;170;588;136;143;228;1;1.096;667;330;61;478;9.569;143.502;553;9.240
;;05515  MUENSTER,STADT                   ;10.800;10.558;120;122;1.538;150.277;54.124;72.491;22.035;1.627;7.884;15.390;2.877;76;24.578;52.016;477;259;9.737;3.693;4.516;156;562;177;229;401;3;2.492;589;1.500;109;744;13.232;174.309;553;17.303
;;05554  BORKEN                           ;17.306;16.734;192;380;2.384;229.037;80.490;114.168;32.878;1.501;9.275;22.996;3.789;74;23.022;75.018;617;309;18.024;5.287;9.725;198;1.015;281;498;1.016;4;13.728;2.446;9.461;356;1.787;33.848;280.191;755;48.859
;;05558  COESFELD                         ;12.969;12.578;113;278;1.826;142.027;51.759;69.492;19.850;926;6.582;14.074;2.813;56;10.800;50.883;644;264;8.967;2.743;4.532;114;472;248;298;558;2;8.646;886;6.219;281;1.017;18.894;173.890;788;28.860
;;05562  RECKLINGHAUSEN                   ;33.492;32.757;335;400;4.802;359.727;148.916;163.235;45.945;1.631;18.382;31.523;4.407;134;20.378;133.897;586;567;17.185;6.068;8.529;224;989;280;428;660;7;5.756;1.661;3.303;352;1.448;24.956;418.175;681;40.406
;;05566  STEINFURT                        ;23.245;22.497;196;552;3.115;278.271;101.827;136.124;38.511;1.809;11.296;26.926;4.935;104;23.829;95.576;621;463;18.000;6.299;8.492;220;905;486;553;1.043;2;15.305;2.453;10.401;384;1.638;35.406;336.922;752;58.681
;;05570  WARENDORF                        ;14.816;14.433;118;265;2.001;174.862;64.232;84.266;25.194;1.170;7.832;17.304;2.622;73;15.084;60.371;629;205;9.888;3.442;4.914;126;543;150;224;484;5;10.064;1.411;7.216;295;1.001;21.158;210.836;759;32.677
;RB ZUSAMMEN;;128.432;124.945;1.269;2.218;17.749;1.528.280;582.536;727.387;208.868;9.489;70.147;144.186;23.023;616;133.394;536.003;582;2.473;92.943;31.200;46.231;1.272;5.397;1.860;2.477;4.482;24;57.877;10.374;38.837;1.879;8.370;161.663;1.818.375;693;241.965
;RB DETMOLD                       ;05711  BIELEFELD,STADT                  ;12.313;12.020;111;182;1.674;175.126;66.096;82.272;24.685;2.073;7.944;17.018;2.503;74;21.581;61.100;524;268;10.572;4.105;4.636;140;570;341;317;462;1;1.891;569;1.016;118;708;13.439;200.878;601;16.734
;;05754  GUETERSLOH                       ;18.809;18.262;174;373;2.333;232.662;83.753;112.275;35.072;1.562;11.141;23.944;3.198;69;22.432;81.522;638;382;16.906;6.219;7.621;230;973;386;665;810;2;10.620;2.665;6.217;366;1.215;29.123;280.594;769;43.393
;;05758  HERFORD                          ;13.345;13.038;83;224;1.864;164.092;65.244;75.342;22.435;1.071;7.975;16.164;2.187;55;13.656;60.627;655;197;10.126;3.686;4.783;101;580;198;215;562;1;4.668;963;2.865;209;694;15.685;193.122;771;26.025
;;05762  HOEXTER                          ;8.389;7.996;81;312;1.025;90.389;33.689;44.430;11.773;497;3.730;10.233;1.130;45;5.011;30.749;644;147;5.536;1.862;2.574;68;356;98;180;397;1;7.552;535;5.546;403;594;13.829;112.607;803;19.549
;;05766  LIPPE                            ;18.802;18.266;125;411;2.434;218.800;82.771;103.115;31.422;1.492;10.665;22.686;3.429;84;18.778;79.892;630;457;12.552;4.901;5.809;178;646;209;324;483;2;7.116;975;4.708;353;1.027;21.152;258.754;745;37.486
;;05770  MINDEN-LUEBBECKE                 ;15.924;15.459;109;356;2.059;204.839;76.790;97.110;29.679;1.260;8.924;20.634;2.624;71;16.319;73.371;660;196;14.311;4.992;6.037;190;905;364;566;1.253;4;10.291;1.296;7.021;301;1.313;26.111;246.874;795;39.024
;;05774  PADERBORN                        ;15.274;14.768;127;379;1.943;185.254;66.750;90.743;26.115;1.646;8.126;19.238;2.573;80;16.159;63.499;602;307;11.560;3.818;5.694;170;704;329;236;605;4;9.196;1.493;6.123;309;957;22.020;222.548;723;30.503
;RB ZUSAMMEN;;102.856;99.809;810;2.237;13.332;1.271.162;475.093;605.287;181.181;9.601;58.505;129.917;17.644;478;113.936;450.760;618;1.954;81.563;29.583;37.154;1.077;4.734;1.925;2.503;4.572;15;51.334;8.496;33.496;2.059;6.508;141.359;1.515.377;737;212.714
;RB ARNSBERG                      ;05911  BOCHUM,STADT                     ;16.133;15.808;143;182;2.251;207.746;90.537;93.156;22.720;1.333;9.830;18.374;2.039;88;35.710;69.176;568;201;15.773;5.375;8.654;287;772;145;208;315;17;1.190;448;580;142;790;17.954;241.833;661;14.973
;;05913  DORTMUND,STADT                   ;23.457;22.907;236;313;3.244;296.263;119.506;137.849;37.086;1.822;14.140;27.613;2.942;152;27.816;105.718;504;413;15.841;5.660;7.308;312;875;457;453;774;2;2.375;1.305;828;183;1.045;19.674;339.394;577;26.366
;;05914  HAGEN,STADT                      ;8.927;8.674;80;173;1.249;99.923;40.964;45.832;12.666;461;4.972;10.259;1.018;59;8.610;34.584;530;229;5.563;2.053;2.523;73;304;121;169;320;-;1.275;602;477;119;448;7.515;116.365;617;8.673
;;05915  HAMM,STADT                       ;7.371;7.154;85;132;943;98.946;39.458;46.049;12.891;548;4.502;8.688;1.120;33;7.588;34.772;550;218;5.564;1.777;2.601;85;331;108;250;412;-;1.874;436;1.129;105;397;8.053;114.370;636;13.412
;;05916  HERNE,STADT                      ;6.631;6.492;61;78;1.009;78.636;33.751;35.421;9.189;275;3.648;5.893;628;38;5.629;28.454;503;161;4.390;1.832;2.111;48;202;58;70;66;3;348;150;162;48;353;5.252;90.519;579;6.000
;;05954  ENNEPE-RUHR-KREIS                ;21.109;20.647;180;282;3.174;200.936;83.505;90.234;26.023;1.174;12.547;24.211;2.861;106;16.623;76.149;620;386;10.550;3.947;4.832;150;707;218;285;408;3;3.477;647;2.211;294;799;15.212;237.257;732;21.413
;;05958  HOCHSAUERLANDKREIS               ;14.431;13.820;141;470;1.796;169.076;64.796;82.010;21.296;974;6.907;25.344;2.374;75;13.969;56.491;651;411;10.896;3.651;5.262;152;594;278;302;652;5;9.850;959;7.100;445;995;22.152;205.659;792;31.692
;;05962  MAERKISCHER KREIS                ;22.291;21.595;227;469;3.193;255.212;103.553;117.404;33.114;1.141;13.209;33.209;3.380;100;18.472;90.181;622;468;13.554;5.093;5.942;178;825;317;483;712;4;6.430;1.057;4.104;457;1.154;21.606;299.109;729;30.675
;;05966  OLPE                             ;7.890;7.640;53;197;938;90.455;35.343;43.569;11.093;450;4.013;14.377;974;35;8.345;29.304;675;72;6.339;1.925;3.320;70;397;96;183;342;6;4.994;491;3.444;273;476;11.881;110.226;823;15.118
;;05970  SIEGEN-WITTGENSTEIN              ;15.396;14.952;123;321;2.000;177.699;72.213;82.755;21.752;979;8.133;25.856;2.184;83;19.305;58.139;642;212;10.027;3.244;4.834;122;673;261;290;601;2;9.446;1.047;5.823;449;894;20.579;213.674;772;27.597
;;05974  SOEST                            ;16.898;16.453;124;321;2.259;192.866;73.115;92.366;25.912;1.473;9.091;20.178;3.041;61;13.065;69.738;639;182;10.816;3.572;5.482;133;669;238;273;446;3;9.091;1.509;6.305;312;1.207;21.296;231.060;766;35.613
;;05978  UNNA                             ;21.791;21.276;220;295;3.251;241.904;98.269;112.046;30.144;1.445;12.160;22.059;3.332;98;17.756;89.427;613;259;12.251;4.138;5.708;169;826;407;383;616;4;3.946;958;2.405;218;1.056;17.512;281.207;712;29.662
;RB ZUSAMMEN;;182.325;177.418;1.673;3.233;25.307;2.109.662;855.010;978.691;263.886;12.075;103.152;236.061;25.893;928;192.888;742.133;589;3.212;121.564;42.267;58.577;1.779;7.175;2.704;3.349;5.664;49;54.296;9.609;34.568;3.045;9.614;188.686;2.480.673;693;261.194
NORDRHEIN-WESTFALEN INSGESAMT;;;880.698;856.841;9.246;14.610;121.005;10.365.586;4.012.915;4.875.579;1.412.779;64.313;544.765;1.097.523;137.864;4.398;1.080.448;3.645.652;578;16.294;703.297;279.447;315.205;10.667;39.431;14.227;16.006;28.044;270;264.105;49.455;169.365;12.599;53.701;1.037.397;12.283.681;684;1.303.880
RHEINLAND-PFALZ;RB KOBLENZ                       ;07111  KOBLENZ,STADT                    ;4.818;4.672;65;81;615;64.463;23.171;32.536;8.385;371;3.473;7.170;741;28;12.039;20.292;565;284;4.859;1.699;2.128;59;330;110;93;440;-;939;320;431;59;401;6.483;75.764;664;6.221
;;07131  AHRWEILER                        ;9.037;8.626;84;327;1.222;86.411;32.143;41.849;12.014;405;5.335;10.452;1.142;43;6.142;30.416;664;109;5.815;2.091;2.850;64;333;72;116;287;2;5.840;412;3.537;366;481;12.245;107.693;828;14.877
;;07132  ALTENKIRCHEN (WESTWLD.)           ;9.265;8.859;80;326;1.295;84.964;33.541;40.176;10.902;345;4.061;11.998;1.126;32;6.621;29.372;660;339;5.317;1.696;2.798;42;302;91;131;257;-;5.247;329;3.380;371;462;11.365;105.594;820;16.029
;;07133  BAD KREUZNACH                    ;10.132;9.639;104;389;1.380;101.284;36.209;49.659;14.901;515;6.063;11.751;1.236;32;7.674;36.212;640;120;7.417;1.991;3.260;99;604;495;258;708;2;7.197;531;4.785;273;696;15.430;126.846;801;19.001
;;07134  BIRKENFELD                       ;4.977;4.640;58;279;628;52.688;19.692;25.947;6.868;181;2.566;7.499;569;14;3.754;18.159;651;121;3.087;1.050;1.598;28;139;38;71;161;2;3.166;96;2.164;203;350;6.724;64.389;795;11.808
;;07135  COCHEM-ZELL                      ;4.889;4.573;38;278;628;41.949;13.848;21.961;5.938;202;2.313;5.871;493;25;2.442;13.689;683;77;2.869;826;1.507;63;192;72;61;148;-;5.672;146;3.543;414;323;8.941;55.779;909;10.086
;;07137  MAYEN-KOBLENZ                    ;13.707;13.116;174;417;1.840;140.240;51.642;68.813;19.051;734;8.663;17.251;1.649;42;10.537;49.226;654;127;9.144;3.024;4.431;75;536;311;281;482;4;6.538;770;4.168;505;683;16.492;170.439;795;23.995
;;07138  NEUWIED                          ;11.971;11.513;126;332;1.684;121.459;43.619;59.715;17.538;587;7.244;15.713;1.636;19;10.727;42.593;664;133;8.057;2.927;3.947;75;448;114;161;383;2;5.506;659;3.343;421;632;14.328;147.758;808;20.259
;;07140  RHEIN-HUNSRUECK-KREIS            ;7.333;6.885;62;386;933;71.154;23.666;37.343;9.771;374;3.483;9.590;943;37;5.668;23.711;690;313;5.051;1.559;2.560;56;354;84;98;340;-;7.160;504;4.345;397;488;13.012;91.499;887;17.367
;;07141  RHEIN-LAHN-KREIS                 ;9.028;8.562;100;366;1.211;80.891;30.520;39.123;10.840;408;4.381;10.322;1.156;16;4.983;28.760;661;108;4.761;1.626;2.515;62;259;44;84;167;4;4.923;120;3.234;377;517;10.309;100.228;820;14.520
;;07143  WESTERWALDKREIS                  ;14.039;13.420;193;426;1.907;138.521;51.011;67.654;19.188;668;7.005;20.955;1.739;69;12.152;47.672;686;209;9.592;2.839;5.035;114;624;186;304;486;4;8.582;812;5.430;624;875;19.258;171.818;851;26.919
;RB ZUSAMMEN;;99.196;94.505;1.084;3.607;13.343;984.024;359.062;484.776;135.396;4.790;54.587;128.572;12.430;357;82.739;340.102;657;1.940;65.969;21.328;32.629;737;4.121;1.617;1.658;3.859;20;60.770;4.699;38.360;4.010;5.908;134.587;1.217.807;813;181.082
;RB TRIER                         ;07211  TRIER-SAARBURG                   ;16.890;16.146;196;548;2.182;154.688;50.786;80.730;22.240;932;8.977;20.609;1.746;81;11.916;54.786;593;292;9.687;3.515;4.607;121;567;165;213;496;3;10.228;412;6.609;379;864;21.071;192.649;738;24.747
;;07231  BERNKASTEL-WITTLICH              ;7.635;7.144;100;391;943;75.722;24.971;39.999;10.373;379;3.862;9.501;843;18;5.244;25.250;673;170;5.615;1.621;2.992;91;306;120;117;366;2;9.399;366;5.988;300;598;15.782;99.139;881;17.514
;;07232  EIFELKREIS BITBURG-PRUEM         ;7.930;7.334;69;527;1.022;67.379;18.963;37.616;10.454;346;3.017;10.927;705;26;4.638;22.771;680;172;5.159;1.766;2.533;43;294;88;95;338;2;10.356;248;7.852;478;684;16.371;91.680;926;16.859
;;07233  VULKANEIFEL                      ;4.987;4.609;48;330;647;41.818;13.928;21.998;5.693;199;1.903;6.287;566;31;2.615;13.523;690;124;3.181;1.084;1.524;49;192;42;73;214;3;5.780;203;4.006;378;344;9.429;56.234;927;10.775
;RB ZUSAMMEN;;37.442;35.233;413;1.796;4.794;339.607;108.648;180.343;48.760;1.856;17.759;47.324;3.860;156;24.413;116.330;637;758;23.642;7.986;11.656;304;1.359;415;498;1.414;10;35.763;1.229;24.455;1.535;2.490;62.653;439.702;825;69.895
;RB RHEINHESSEN-PFALZ             ;07311  FRANKENTHAL (PFALZ),STADT         ;2.199;2.135;35;29;276;27.139;9.507;13.366;4.154;112;1.380;2.673;223;3;2.692;9.492;557;27;1.601;591;826;13;88;27;17;39;-;561;228;270;15;122;2.311;31.649;649;2.576
;;07312  KAISERSLAUTERN,STADT             ;3.671;3.557;50;64;458;49.654;17.960;24.581;6.751;362;2.637;5.408;441;54;5.568;16.855;496;116;2.880;1.175;1.266;56;195;55;56;77;-;510;81;309;46;296;3.802;57.127;571;4.786
;;07313  LANDAU I.D.PFALZ,STADT           ;2.410;2.368;23;19;343;27.725;10.253;13.273;3.997;202;1.611;2.744;390;7;3.440;10.079;591;1;1.753;599;813;23;177;30;57;54;-;906;62;677;21;185;2.845;32.980;703;3.157
;;07314  LUDWIGSHAFEN A.RH.,STADT         ;6.903;6.642;152;109;833;84.752;29.902;41.649;12.671;530;3.870;8.690;613;83;10.733;26.873;492;369;5.302;2.031;2.489;120;357;95;95;110;5;820;349;357;46;567;7.058;98.713;573;6.190
;;07315  MAINZ,STADT                      ;7.467;7.256;126;85;990;100.722;35.751;49.647;14.588;736;5.690;10.915;1.014;150;15.753;33.341;461;1.073;5.660;2.152;2.574;102;345;126;138;222;1;1.105;237;637;42;822;8.660;116.849;535;6.668
;;07316  NEUSTADT A.D.WSTR.,STADT         ;2.869;2.785;37;47;365;33.190;11.696;16.060;5.227;207;2.286;3.495;444;4;3.583;11.863;623;6;2.255;761;1.060;23;151;19;62;178;1;1.125;93;823;20;176;3.562;39.621;744;3.824
;;07317  PIRMASENS,STADT                  ;1.757;1.670;25;62;213;23.239;8.844;11.132;3.145;118;1.306;2.803;196;15;2.864;8.271;578;24;1.573;619;691;21;100;35;43;64;-;402;61;257;39;164;2.163;27.159;675;3.085
;;07318  SPEYER,STADT                     ;2.756;2.672;56;28;422;29.673;10.699;14.261;4.539;174;1.709;2.968;404;6;3.632;11.134;587;8;1.759;608;856;41;95;33;38;86;2;309;98;129;9;159;2.235;34.664;686;3.249
;;07319  WORMS,STADT                      ;4.026;3.878;59;89;492;46.422;17.081;21.912;7.195;234;2.589;4.466;460;16;4.439;15.701;556;21;3.112;1.054;1.453;77;237;82;77;132;-;1.344;323;798;61;223;4.700;55.148;660;5.866
;;07320  ZWEIBRUECKEN,STADT               ;1.909;1.846;16;47;297;21.444;7.957;10.542;2.841;104;1.071;2.403;239;21;1.871;7.749;627;29;1.352;478;666;18;79;35;37;38;1;526;95;322;55;217;2.124;25.477;745;3.438
;;07331  ALZEY-WORMS                      ;9.448;9.109;95;244;1.313;86.837;30.500;42.420;13.395;522;5.008;9.212;1.186;8;5.059;31.530;670;16;5.387;1.719;2.802;96;372;82;104;211;1;7.427;258;6.009;287;538;13.368;109.653;846;14.634
;;07332  BAD DUERKHEIM                    ;9.371;9.110;85;176;1.296;91.799;32.236;44.232;14.735;596;6.755;10.747;1.313;15;5.527;34.623;692;128;4.907;1.739;2.381;62;350;124;118;132;1;4.552;386;3.468;119;425;10.012;111.182;838;13.426
;;07333  DONNERSBERGKREIS                 ;5.591;5.305;63;223;777;50.721;17.306;25.888;7.273;254;2.680;5.979;623;18;3.020;18.308;673;103;2.748;1.064;1.287;42;153;41;64;96;1;3.783;160;2.440;182;335;6.969;63.281;840;10.683
;;07334  GERMERSHEIM                      ;8.721;8.496;119;106;1.230;83.803;28.673;41.460;13.284;386;4.294;8.477;1.037;21;6.034;29.477;650;74;4.995;1.809;2.202;65;352;107;123;335;2;4.443;684;2.459;98;455;9.967;102.491;794;14.942
;;07335  KAISERSLAUTERN                   ;7.111;6.818;99;194;858;69.284;24.520;34.459;9.972;333;3.683;8.612;736;22;3.643;25.395;654;155;4.427;1.398;2.137;59;398;94;115;224;2;2.948;109;2.124;184;384;7.914;84.309;796;14.712
;;07336  KUSEL                            ;5.037;4.718;60;259;707;47.794;17.602;23.880;6.152;160;2.319;6.175;677;12;1.566;17.570;681;18;2.347;868;1.146;37;155;31;41;69;-;3.576;33;2.376;235;255;6.196;59.027;841;11.560
;;07337  SUEDLICHE WEINSTRASSE            ;8.746;8.463;87;196;1.174;77.600;26.917;37.885;12.322;476;4.791;8.434;1.244;20;5.132;28.149;702;234;5.067;1.716;2.493;90;376;79;109;204;-;7.672;243;5.696;130;558;13.531;99.877;904;13.547
;;07338  RHEIN-PFALZ-KREIS                ;11.153;10.859;173;121;1.524;102.758;36.633;49.570;16.036;519;6.890;10.640;1.329;3;5.356;38.408;665;55;5.734;2.007;2.721;61;364;132;189;257;3;3.554;727;2.221;95;413;9.756;123.667;800;13.948
;;07339  MAINZ-BINGEN                     ;14.468;13.977;178;313;1.985;142.884;49.462;69.115;23.315;992;8.739;15.662;1.892;20;16.196;50.305;676;70;7.782;2.736;4.011;73;524;109;118;209;2;7.700;450;5.549;251;679;16.231;173.583;821;19.267
;;07340  SUEDWESTPFALZ                    ;7.906;7.555;66;285;1.067;67.704;24.042;34.335;9.060;267;3.794;9.027;988;19;3.024;24.696;714;178;3.599;1.326;1.770;34;225;36;99;109;-;4.452;141;3.011;274;247;8.476;84.086;887;14.301
;RB ZUSAMMEN;;123.519;119.219;1.604;2.696;16.620;1.265.144;447.541;619.667;190.652;7.284;73.102;139.530;15.449;517;109.132;449.819;613;2.705;74.240;26.450;35.644;1.113;5.093;1.372;1.700;2.846;22;57.715;4.818;39.932;2.209;7.220;141.880;1.530.543;742;183.859
RHEINLAND-PFALZ INSGESAMT;;;260.157;248.957;3.101;8.099;34.757;2.588.775;915.251;1.284.786;374.808;13.930;145.448;315.426;31.739;1.030;216.284;906.251;632;5.403;163.851;55.764;79.929;2.154;10.573;3.404;3.856;8.119;52;154.248;10.746;102.747;7.754;15.618;339.120;3.188.052;779;434.836
SAARLAND;;10041  SAARBRUECKEN,STADTVERB.          ;18.068;17.552;238;278;2.489;192.923;74.268;92.388;25.365;902;11.485;20.529;1.885;95;19.093;70.166;587;442;12.680;4.517;6.213;201;856;249;254;390;-;2.223;350;1.265;211;1.025;16.370;227.361;692;23.566
;;10042  MERZIG-WADERN                    ;7.138;6.777;84;277;983;72.447;24.550;37.301;10.302;294;4.131;10.164;886;21;4.434;26.888;702;174;4.195;1.360;2.173;53;284;67;80;177;1;4.674;248;3.145;308;396;9.439;89.024;862;15.071
;;10043  NEUNKIRCHEN                      ;8.350;7.988;127;235;1.176;86.937;34.427;41.512;10.629;369;4.938;9.864;918;11;5.784;32.721;662;124;5.172;1.657;2.646;101;315;69;122;260;2;1.897;165;1.173;159;373;7.566;102.853;783;14.960
;;10044  SAARLOUIS                        ;12.860;12.397;142;321;1.610;134.405;50.429;66.254;17.025;697;7.878;14.254;1.396;43;8.775;50.027;692;201;7.500;2.512;3.573;92;472;137;304;408;2;3.937;467;2.351;334;717;12.355;159.620;821;21.141
;;10045  SAAR-PFALZ-KREIS                 ;9.202;8.930;110;162;1.286;98.575;37.329;47.452;13.303;491;6.066;11.464;1.234;133;8.004;37.376;693;111;5.975;1.953;2.873;80;556;94;172;241;6;2.938;520;1.657;160;488;9.512;117.289;825;17.256
;;10046  SANKT WENDEL                     ;7.228;6.924;70;234;853;62.145;23.240;30.770;7.870;265;3.354;8.166;855;21;3.678;22.411;714;48;3.303;1.203;1.599;48;217;51;57;128;-;3.560;141;2.261;255;297;7.208;76.581;880;13.564
SAARLAND INSGESAMT;;;62.846;60.568;771;1.507;8.397;647.432;244.243;315.677;84.494;3.018;37.852;74.441;7.174;324;49.768;239.589;656;1.100;38.825;13.202;19.077;575;2.700;667;989;1.604;11;19.229;1.891;11.852;1.427;3.296;62.450;772.728;783;105.558
SACHSEN;RB CHEMNITZ                      ;14511  CHEMNITZ, STADT                  ;8.623;8.399;56;168;899;126.455;53.781;59.633;12.441;600;2.350;14.382;1.056;151;16.593;43.644;513;134;10.389;4.567;4.411;230;318;190;270;401;2;1.328;454;727;199;903;12.754;147.832;600;13.053
;;14521  ERZGEBIRGSKREIS                  ;21.680;21.092;89;499;2.068;203.044;90.033;94.528;18.003;480;2.973;37.832;1.450;24;16.361;72.357;606;411;19.676;8.611;8.088;703;706;337;551;677;3;7.661;724;5.834;1.173;1.460;29.208;253.932;758;34.819
;;14522  MITTELSACHSEN                    ;18.119;17.592;87;440;1.807;180.287;75.652;86.448;17.718;469;2.962;22.003;1.574;56;15.494;64.980;593;415;18.303;7.585;7.613;499;816;479;541;768;2;8.168;1.034;6.173;880;1.572;28.458;226.864;746;38.151
;;14523  VOGTLANDKREIS                    ;12.734;12.365;53;316;1.446;137.564;59.038;64.387;13.728;411;2.801;21.659;1.079;171;12.669;50.575;609;203;13.945;5.922;5.834;460;549;293;349;536;2;6.440;715;4.635;653;1.106;21.694;171.992;761;26.511
;;14524  ZWICKAU                          ;16.959;16.538;79;342;1.751;186.444;82.304;86.197;17.008;935;3.778;20.612;1.474;19;16.505;68.480;592;257;17.665;7.311;7.372;536;621;362;478;984;1;5.555;1.435;3.477;533;1.269;24.746;228.149;724;29.870
;RB ZUSAMMEN;;78.115;75.986;364;1.765;7.971;833.794;360.808;391.193;78.898;2.895;14.864;116.488;6.633;421;77.622;300.036;585;1.420;79.978;33.996;33.318;2.428;3.010;1.661;2.189;3.366;10;29.152;4.362;20.846;3.438;6.310;116.860;1.028.769;721;142.404
;RB DRESDEN                       ;14612  DRESDEN, STADT                   ;16.102;15.717;184;201;1.798;231.582;89.368;115.072;25.911;1.231;5.250;24.161;2.875;189;32.670;75.569;416;297;19.488;8.381;8.432;445;717;405;425;680;3;1.348;400;744;248;1.586;22.719;270.403;486;22.557
;;14625  BAUTZEN                          ;16.399;15.836;97;466;1.651;181.835;72.328;91.344;17.642;521;2.978;19.175;1.496;85;15.187;67.418;607;318;17.974;7.838;7.491;520;677;374;425;647;2;8.119;881;6.088;1.066;1.524;27.935;226.169;755;39.921
;;14626  GOERLITZ                         ;13.043;12.710;48;285;1.332;144.108;59.145;70.744;13.921;298;2.093;15.103;1.143;78;12.441;52.482;570;254;13.199;6.053;5.204;354;519;219;307;539;4;6.239;935;4.480;628;1.270;20.962;178.113;705;30.996
;;14627  MEISSEN                          ;11.813;11.447;74;292;1.193;138.940;54.162;68.735;15.588;455;2.924;13.653;1.330;95;11.516;50.321;575;209;14.981;6.377;6.042;424;593;334;428;780;3;5.176;935;3.540;454;1.364;21.730;172.483;714;29.564
;;14628  SAECHS.SCHWEIZ-OSTERZGEB.        ;13.941;13.467;95;379;1.462;144.058;58.426;70.019;15.107;506;2.779;20.750;1.556;97;13.521;52.017;587;345;14.572;6.050;6.289;530;559;363;345;430;6;5.308;334;4.236;631;1.170;21.395;179.394;730;28.419
;RB ZUSAMMEN;;71.298;69.177;498;1.623;7.436;840.523;333.429;415.914;88.169;3.011;16.024;92.842;8.400;544;85.335;297.807;526;1.423;80.214;34.699;33.458;2.273;3.065;1.695;1.930;3.076;18;26.190;3.485;19.088;3.027;6.914;114.741;1.026.562;643;151.457
;RB LEIPZIG                       ;14713  LEIPZIG, STADT                   ;14.785;14.450;136;199;1.689;232.677;91.795;113.641;25.859;1.382;5.043;21.203;2.457;151;27.459;79.783;392;255;17.400;8.404;7.116;272;565;296;256;488;3;1.403;494;757;230;1.540;20.598;268.060;452;23.090
;;14729  LEIPZIG                          ;14.298;13.854;88;356;1.606;154.753;61.046;76.434;16.604;669;3.585;15.109;1.334;67;13.185;58.659;599;258;15.865;6.881;6.634;326;643;403;385;587;6;5.695;1.103;3.889;482;1.264;23.082;192.133;744;36.782
;;14730  NORDSACHSEN                      ;10.817;10.413;59;345;1.291;116.784;46.085;58.164;12.198;337;1.995;10.846;899;52;9.415;43.186;591;192;13.057;5.405;5.696;279;469;265;369;574;-;5.073;834;3.622;496;1.183;19.505;147.106;744;32.499
;RB ZUSAMMEN;;39.900;38.717;283;900;4.586;504.214;198.926;248.239;54.661;2.388;10.623;47.158;4.690;270;50.059;181.628;481;705;46.322;20.690;19.446;877;1.677;964;1.010;1.649;9;12.171;2.431;8.268;1.208;3.987;63.185;607.299;579;92.371
