"Land

";Regierungsbezirk;"Statistische Kennziffer und Zulassungsbezirk
";Insgesamt;Nach Kraftstoffarten;;;;;;;Nach Emissionsgruppen;;;;;;;;;;;Darunter dieselangetriebene Pkw nach Emissionsgruppen;;;;;;;;;;
;;;;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;darunter Euro 6d-temp;darunter Euro 6d;darunter Euro 6e;sonstige;"schadstoff-
reduzierte insgesamt";Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;darunter Euro 6d-temp;darunter Euro 6d;darunter Euro 6e;sonstige;"schadstoff-
reduziert mit
Dieselantrieb insgesamt"
;;09278 STRAUBING-BOGEN;71.999;40.736;25.884;388;3.027;796;1.956;8;494;1.995;2.804;12.987;17.720;32.598;7.645;7.219;22;2.168;70.766;58;465;1.430;3.041;8.876;11.811;2.391;1.512;-;52;25.733
;;09279 DINGOLFING-LANDAU;73.005;39.197;27.104;369;4.162;1.032;2.168;5;503;2.422;3.373;13.489;16.084;33.541;6.394;11.240;539;2.524;71.936;76;648;1.718;3.521;9.019;11.910;2.232;1.896;24;65;26.957
;RB ZUSAMMEN;;850.744;478.756;299.302;4.011;44.205;12.162;24.313;157;5.551;25.570;33.854;151.398;195.738;398.454;90.363;106.155;862;27.146;837.711;783;6.112;17.357;35.040;97.300;140.223;28.723;23.342;43;684;297.499
;RB OBERPFALZ;09361 AMBERG,STADT;25.301;15.699;7.102;98;1.584;494;816;2;143;653;856;4.388;5.625;12.385;2.768;3.754;10;899;24.949;16;149;371;709;2.284;3.526;769;679;4;18;7.073
;;09362 REGENSBURG,STADT;83.290;47.465;25.484;464;6.850;2.202;3.002;25;535;1.961;2.452;12.596;16.818;44.374;9.099;16.663;333;3.280;82.016;86;510;1.072;2.467;7.232;13.891;2.793;3.898;46;73;25.331
;;09363 WEIDEN I.D.OPF.,STADT;26.470;16.266;7.795;155;1.596;510;648;10;163;771;905;4.346;5.722;13.466;2.960;4.280;17;712;26.085;22;155;386;733;2.321;4.114;878;901;-;13;7.744
;;09371 AMBERG-SULZBACH;72.089;42.804;23.721;333;3.049;987;2.170;12;512;2.332;2.732;12.988;17.406;32.595;7.750;7.731;17;2.435;71.000;62;552;1.348;2.619;7.960;10.972;2.398;1.543;1;65;23.578
;;09372 CHAM;92.298;53.116;32.318;602;3.850;1.070;2.394;18;670;2.925;3.463;15.893;22.667;42.520;9.988;9.963;36;2.741;90.879;75;677;1.833;3.583;11.017;14.895;3.083;2.192;7;63;32.143
;;09373 NEUMARKT I.D.OPF.;92.867;53.202;32.310;424;4.287;1.298;2.637;7;590;2.449;3.172;15.179;21.810;45.183;10.852;11.202;44;3.036;91.419;86;547;1.602;3.196;10.169;16.458;3.709;3.010;4;102;32.160
;;09374 NEUSTADT A.D.WALDNAAB;66.854;39.493;22.401;353;2.957;949;1.639;11;449;1.927;2.303;10.867;15.841;32.743;7.556;8.400;32;1.869;65.999;56;484;1.194;2.366;7.371;10.753;2.324;1.668;3;53;22.277
;;09375 REGENSBURG;132.561;78.255;42.542;887;6.750;1.878;4.101;26;758;3.324;4.327;21.177;30.915;65.534;14.969;17.187;77;4.494;130.529;111;860;2.174;4.648;14.211;20.202;4.184;3.086;28;107;42.313
;;09376 SCHWANDORF;104.453;59.111;37.607;649;4.668;1.327;2.410;8;639;2.816;3.521;17.394;24.600;51.263;12.086;13.236;36;2.780;103.013;101;640;1.848;3.833;12.015;18.884;4.061;3.311;4;96;37.417
;;09377 TIRSCHENREUTH;49.584;30.146;15.943;227;2.258;749;1.003;7;317;1.442;1.473;7.575;11.530;25.492;6.209;6.563;21;1.151;48.980;35;290;728;1.414;5.046;8.326;1.855;1.364;4;24;15.863
;RB ZUSAMMEN;;745.767;435.557;247.223;4.192;37.849;11.464;20.820;126;4.776;20.600;25.204;122.403;172.934;365.555;84.237;98.979;623;23.397;734.869;650;4.864;12.556;25.568;79.626;122.021;26.054;21.652;101;614;245.899
;RB OBERFRANKEN;09461 BAMBERG,STADT;41.314;24.589;12.723;319;2.382;687;1.290;11;343;1.502;1.783;7.246;8.627;19.552;4.326;6.381;41;1.421;40.474;49;360;829;1.299;3.637;6.407;1.405;1.612;6;34;12.615
;;09462 BAYREUTH,STADT;41.425;24.757;11.704;190;3.270;1.142;1.499;5;284;1.126;1.329;6.459;8.454;21.589;4.660;7.920;32;1.629;40.870;37;218;581;1.094;3.149;6.522;1.355;1.956;2;39;11.640
;;09463 COBURG,STADT;25.458;15.642;7.071;151;1.785;565;805;4;192;767;882;4.063;5.113;13.062;2.950;4.562;15;898;24.977;18;147;340;690;1.861;3.959;878;1.146;2;8;7.023
;;09464 HOF,STADT;26.733;17.393;6.271;124;1.673;534;1.266;6;140;685;907;3.946;4.995;14.423;3.168;5.018;43;1.332;26.428;10;146;363;597;1.756;3.350;724;721;7;15;6.237
