;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraftomni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahrzeug-
anh‰nger"
;RB TUEBINGEN;08415 REUTLINGEN;21.493;21.009;258;226;3.136;186.101;66.328;86.713;26.703;6.357;9.050;30.389;4.303;87;20.497;65.106;634;239;11.917;3.640;6.394;119;642;275;300;542;5;12.844;513;8.969;3.362;957;25.957;233.551;795;36.365
;;08416 TUEBINGEN;14.760;14.443;171;146;2.203;130.726;45.886;61.745;18.097;4.998;6.110;18.401;3.390;63;15.475;46.068;557;260;7.441;2.568;3.846;93;385;66;156;320;7;6.983;176;4.387;2.420;609;15.293;160.779;685;23.498
;;08417 ZOLLERNALBKREIS;15.228;14.783;191;254;2.278;132.477;47.260;62.898;18.450;3.869;7.016;23.271;2.776;57;12.670;46.603;684;128;8.883;2.834;4.596;77;459;120;241;552;4;11.066;514;7.116;3.436;869;20.946;168.651;871;29.451
;;08421 ULM,STADT;6.485;6.374;58;53;957;68.480;22.518;33.151;9.784;3.027;3.210;10.728;1.418;92;13.282;21.054;527;498;5.092;1.455;2.612;65;295;121;252;290;2;1.701;507;906;288;519;7.810;82.775;637;8.999
;;08425 ALB-DONAU-KREIS;17.874;17.280;250;344;2.706;135.216;45.884;64.632;19.903;4.797;6.980;21.723;2.876;11;10.913;45.285;663;387;8.574;2.569;4.689;89;428;148;187;461;3;14.806;676;10.428;3.702;1.016;24.783;177.873;872;31.331
;;08426 BIBERACH;17.836;17.284;216;336;2.476;139.399;44.189;67.706;22.322;5.182;6.465;22.490;3.186;47;12.517;46.353;670;167;11.179;2.858;6.500;113;452;139;344;765;8;16.339;1.003;11.623;3.713;1.015;28.700;185.935;893;36.056
;;08435 BODENSEEKREIS;22.348;21.822;293;233;3.449;144.417;48.383;66.545;24.129;5.360;8.601;24.289;4.250;21;14.867;50.226;644;185;8.925;3.023;4.930;87;378;94;142;268;3;10.100;208;8.324;1.568;722;19.932;186.697;833;22.726
;;08436 RAVENSBURG;26.544;25.696;367;481;3.842;189.421;65.574;87.702;29.176;6.969;8.860;31.570;5.952;99;19.713;64.120;646;229;14.366;4.188;7.968;146;537;170;451;896;10;18.565;948;14.421;3.196;1.162;34.322;250.287;854;40.893
;;08437 SIGMARINGEN;11.851;11.498;145;208;1.714;90.863;31.729;43.424;12.954;2.756;4.173;14.502;2.064;32;8.621;30.484;677;141;6.080;1.845;3.325;52;318;72;136;326;6;10.733;432;7.617;2.684;706;17.660;120.374;897;23.591
;RB ZUSAMMEN;;154.419;150.189;1.949;2.281;22.761;1.217.100;417.751;574.516;181.518;43.315;60.465;197.363;30.215;509;128.555;415.299;635;2.234;82.457;24.980;44.860;841;3.894;1.205;2.209;4.420;48;103.137;4.977;73.791;24.369;7.575;195.403;1.566.922;818;252.910
