;;;Krafträder;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraft-
omni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahr-
zeug-
anhänger"
;;09181  LANDSBERG AM LECH;12.124;11.711;175;238;1.721;83.726;26.858;41.631;13.577;1.660;4.815;12.913;2.284;18;8.749;29.046;692;120;4.916;1.603;2.636;58;187;76;98;257;1;7.887;216;5.827;1.844;481;13.404;109.254;903;17.298
;;09182  MIESBACH;9.308;9.043;79;186;1.233;67.334;21.253;32.607;12.508;966;4.269;19.048;1.675;22;7.633;24.119;672;54;5.072;1.785;2.558;52;195;71;142;266;3;5.114;166;4.194;754;469;10.709;87.351;872;11.110
;;09183  MUEHLDORF A.INN;10.150;9.569;131;450;1.348;76.420;24.876;38.541;12.002;1.001;3.441;11.588;1.332;27;6.095;25.678;656;129;5.488;1.798;2.831;52;214;113;149;330;1;9.322;288;7.817;1.217;597;15.536;102.106;877;17.709
;;09184  MUENCHEN;23.759;23.282;308;169;3.329;238.718;63.844;121.854;47.720;5.300;15.567;53.991;4.155;32;63.992;67.765;683;407;19.261;7.032;9.250;294;822;346;582;928;7;5.259;733;3.891;635;1.934;26.861;289.338;827;22.239
;;09185  NEUBURG-SCHROBENHAUSEN;9.630;9.176;164;290;1.340;66.766;20.954;34.658;10.431;723;3.045;10.125;1.059;19;5.567;21.168;683;98;4.742;1.435;2.409;65;232;87;164;346;4;8.122;433;6.210;1.479;490;13.452;89.848;919;17.149
;;09186  PFAFFENHOFEN A.D.ILM;12.888;12.408;182;298;1.793;85.870;25.963;44.523;14.160;1.224;4.323;13.987;1.398;23;6.231;27.901;665;60;5.908;1.594;3.230;56;285;138;171;430;4;9.550;621;7.389;1.540;480;15.998;114.756;889;19.322
;;09187  ROSENHEIM;23.581;22.818;329;434;3.241;175.351;59.544;84.653;28.260;2.894;8.759;32.281;4.450;26;17.433;62.266;670;209;12.512;4.254;6.545;99;529;220;324;538;3;16.315;960;12.463;2.892;1.055;30.091;229.023;875;34.384
;;09188  STARNBERG;10.801;10.547;143;111;1.455;89.156;26.385;42.084;18.658;2.029;7.723;19.505;2.098;30;11.765;31.500;653;77;5.239;1.854;2.771;44;190;51;125;204;-;3.466;148;2.570;748;533;9.315;109.272;800;13.264
;;09189  TRAUNSTEIN;15.635;15.134;145;356;2.009;119.533;40.744;59.181;17.873;1.735;5.489;21.138;3.032;44;9.379;41.043;673;175;7.942;2.642;3.968;60;350;137;205;574;6;14.036;623;10.915;2.498;976;23.129;158.297;892;25.541
;;09190  WEILHEIM-SCHONGAU;12.845;12.432;151;262;1.749;90.065;30.857;43.667;14.284;1.257;4.142;15.536;3.011;29;7.050;31.640;662;81;6.067;2.108;3.151;57;270;71;100;309;1;10.603;171;8.019;2.413;518;17.269;120.179;883;18.693
;RB ZUSAMMEN;;338.547;328.401;4.511;5.635;45.979;2.840.417;873.824;1.428.179;487.966;50.448;155.405;538.062;59.416;904;478.424;890.547;602;4.446;186.599;62.419;97.832;1.698;8.270;3.283;4.420;8.601;76;166.174;7.756;128.032;30.386;20.188;377.407;3.556.371;754;404.683
; RB NIEDERBAYERN                  ;09261  LANDSHUT,STADT;4.074;3.980;47;47;560;38.362;12.489;19.300;6.105;468;1.847;5.801;625;31;4.220;13.210;525;77;1.967;618;984;35;93;67;71;99;-;762;43;602;117;182;2.988;45.424;622;4.072
;;09262  PASSAU,STADT;3.392;3.302;54;36;440;29.437;9.698;14.994;4.354;391;1.300;5.118;423;53;4.994;9.557;562;78;2.424;674;1.202;21;107;56;62;302;-;867;126;633;108;260;3.629;36.458;696;4.721
;;09263  STRAUBING,STADT;2.372;2.266;47;59;313;27.938;9.566;13.636;4.322;414;1.280;4.079;311;13;4.133;9.103;587;52;2.219;846;967;22;127;73;65;119;-;682;90;526;66;422;3.375;33.685;707;3.700
;;09271  DEGGENDORF;10.636;10.026;107;503;1.476;80.029;25.707;42.111;11.322;889;3.165;14.192;922;30;7.738;26.621;670;167;6.462;1.899;3.463;29;326;115;206;422;2;10.144;357;8.116;1.671;652;17.425;108.090;905;19.005
;;09272  FREYUNG-GRAFENAU;9.685;8.989;75;621;1.192;53.778;17.783;28.412;7.128;455;1.689;15.033;697;65;4.115;17.054;686;123;3.625;1.171;1.856;28;162;106;113;189;-;11.257;175;8.734;2.348;437;15.442;78.905;1.007;13.621
;;09273  KELHEIM;11.378;10.825;164;389;1.507;82.212;25.721;42.810;12.717;964;3.646;12.572;1.054;31;5.893;26.300;666;232;5.685;1.703;3.100;30;291;100;148;312;1;9.978;438;7.985;1.555;553;16.448;110.038;892;18.111
;;09274  LANDSHUT;15.239;14.428;218;593;1.978;111.553;33.033;59.144;17.868;1.508;4.980;17.845;1.792;14;8.884;36.120;692;167;8.405;2.487;4.428;97;493;220;218;460;2;14.542;443;11.945;2.154;817;23.931;150.723;935;26.869
;;09275  PASSAU;19.743;18.698;212;833;2.399;131.273;43.913;67.329;18.512;1.519;4.989;25.408;1.628;2;9.921;44.151;679;315;8.823;2.939;4.277;75;510;178;300;542;2;19.498;672;14.935;3.891;874;29.510;180.526;933;33.879
;;09276  REGEN;7.660;7.075;56;529;900;50.961;16.950;26.711;6.829;471;1.549;13.863;618;19;4.443;16.338;659;88;3.543;1.151;1.918;24;149;51;80;168;2;9.611;90;7.805;1.716;379;13.621;72.242;934;12.824
;;09277  ROTTAL-INN;12.092;11.246;133;713;1.456;84.589;26.527;44.397;12.726;939;3.763;13.023;1.247;30;8.947;27.176;694;206;7.058;2.406;3.437;71;457;124;175;384;4;16.267;374;13.899;1.994;820;24.351;121.032;994;23.866
;;09278  STRAUBING-BOGEN;9.753;9.001;113;639;1.203;70.359;22.740;36.720;10.165;734;2.997;11.727;851;108;4.078;22.801;692;103;4.850;1.526;2.549;50;255;116;117;236;1;13.444;338;10.586;2.520;531;18.928;99.040;973;19.275
;;09279  DINGOLFING-LANDAU;9.178;8.645;151;382;1.172;70.594;17.942;39.891;11.760;1.001;3.376;11.260;976;20;8.647;20.076;726;139;4.264;1.447;2.081;24;234;99;119;258;2;9.775;628;7.657;1.490;469;14.647;94.419;971;18.376
;RB ZUSAMMEN;;115.202;108.481;1.377;5.344;14.596;831.085;262.069;435.455;123.808;9.753;34.581;149.921;11.144;416;76.013;268.507;666;1.747;59.325;18.867;30.262;506;3.204;1.305;1.674;3.491;16;116.827;3.774;93.423;19.630;6.396;184.295;1.130.582;907;198.319
;RB OBERPFALZ                     ;09361  AMBERG,STADT;2.213;2.142;30;41;273;25.239;9.109;12.382;3.336;412;1.053;3.307;330;30;3.018;8.704;600;44;1.547;579;702;12;85;31;60;77;1;633;109;427;97;137;2.361;29.813;709;3.227
;;09362  REGENSBURG,STADT;7.322;7.162;98;62;1.055;82.465;26.936;42.343;11.806;1.380;3.519;13.072;1.221;82;18.391;25.779;542;372;7.066;1.897;3.792;63;601;337;164;211;1;1.399;534;782;83;893;9.730;99.517;654;7.756
;;09363  WEIDEN I.D.OPF.,STADT;2.563;2.453;44;66;389;26.399;9.752;12.790;3.571;286;1.055;3.499;323;36;3.674;8.980;621;41;1.875;691;839;19;137;30;59;99;1;733;126;497;110;184;2.833;31.795;748;3.693
;;09371  AMBERG-SULZBACH;9.678;9.176;85;417;1.193;71.386;24.956;36.465;9.002;963;2.693;10.242;1.032;1;4.796;23.979;693;197;4.235;1.401;2.182;45;234;56;86;231;-;10.548;237;7.867;2.444;449;15.429;96.493;937;16.568
;;09372  CHAM;14.477;13.517;128;832;1.748;90.340;30.348;47.372;11.771;849;2.893;16.445;819;38;7.686;28.278;705;140;7.524;2.273;3.669;78;396;187;312;603;6;18.337;393;14.108;3.836;848;26.849;131.666;1.028;24.458
;;09373  NEUMARKT I.D.OPF.;13.144;12.528;144;472;1.711;90.971;30.495;47.690;11.667;1.119;3.588;12.455;1.353;24;10.210;27.809;673;191;7.205;2.475;3.550;51;386;139;198;405;1;12.795;531;9.908;2.356;690;20.881;124.996;924;20.399
;;09374  NEUSTADT A.D.WALDNAAB;9.732;9.089;91;552;1.365;65.831;23.348;33.601;8.212;670;2.223;9.387;767;1;4.070;21.461;696;57;3.784;1.271;1.826;40;243;71;103;229;1;10.935;351;7.802;2.782;527;15.303;90.866;960;16.199
;;09375  REGENSBURG;18.544;17.764;180;600;2.483;128.940;44.202;64.723;18.373;1.642;5.812;19.921;1.866;2;9.123;43.323;664;242;8.749;2.882;4.284;48;459;287;250;532;7;12.816;830;9.769;2.217;839;22.646;170.130;876;27.394
;;09376  SCHWANDORF;15.981;15.185;213;583;2.058;102.467;34.310;54.171;12.987;999;3.669;14.055;1.088;53;8.880;32.536;690;129;6.553;2.122;3.232;60;309;94;166;567;3;14.561;1.092;10.406;3.063;856;22.099;140.547;947;26.317
;;09377  TIRSCHENREUTH;7.511;7.027;60;424;980;49.197;18.654;24.625;5.530;388;1.505;7.165;461;28;3.384;15.871;686;91;3.248;1.053;1.652;27;191;36;96;193;-;8.319;356;6.040;1.923;464;12.122;68.830;960;12.606
