;;;Krafträder;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraft-
omni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahr-
zeug-
anhänger"
;;01002  KIEL,STADT;8.314;8.144;67;103;1.141;112.154;45.815;49.895;14.894;1.550;4.154;9.178;3.650;106;15.534;39.188;455;947;8.313;3.915;3.279;108;264;138;354;253;2;976;327;595;54;911;11.147;131.615;534;11.419
;;01003  LUEBECK,STADT;8.500;8.339;73;88;1.186;102.167;41.050;46.557;13.377;1.183;4.437;9.650;2.359;82;12.087;36.355;473;227;7.614;3.218;3.488;128;237;106;151;286;-;1.575;834;648;93;693;10.109;120.776;560;14.280
;;01004  NEUMUENSTER,STADT;3.469;3.376;39;54;472;43.435;16.724;20.085;5.925;701;1.958;4.025;864;25;5.677;14.907;544;72;3.742;1.261;1.852;67;119;80;68;295;-;768;357;356;55;390;4.972;51.876;649;7.320
;;01051  DITHMARSCHEN;8.160;7.816;67;277;1.192;83.763;29.358;39.608;13.781;1.016;3.442;9.082;2.184;193;5.113;30.158;629;83;7.003;2.845;3.427;53;238;53;106;274;7;8.193;1.174;6.043;976;867;16.146;108.069;811;24.533
;;01053  HERZOGTUM LAUENBURG;11.592;11.262;118;212;1.665;121.181;44.180;56.652;18.750;1.599;6.313;13.998;2.872;49;7.356;45.564;608;88;9.220;3.805;4.064;100;375;180;112;580;4;5.111;536;3.877;698;933;15.352;148.125;744;25.334
;;01054  NORDFRIESLAND;9.953;9.538;76;339;1.321;106.916;35.917;48.697;20.112;2.190;5.131;14.253;3.724;55;7.810;38.731;640;202;11.433;4.496;6.010;105;251;108;155;305;3;8.690;319;7.334;1.037;1.651;21.976;138.845;831;31.315
;;01055  OSTHOLSTEIN;13.189;12.758;123;308;1.889;130.928;50.705;58.835;19.862;1.526;7.222;15.124;3.699;80;8.577;50.282;650;69;9.349;4.112;4.322;101;269;88;200;252;5;5.962;589;4.560;813;1.038;16.418;160.535;797;27.346
;;01056  PINNEBERG;16.005;15.660;148;197;2.261;180.947;70.156;80.531;27.663;2.597;9.778;19.936;4.656;11;16.321;67.291;571;87;14.276;5.357;6.614;170;585;564;594;389;3;5.351;507;4.205;639;954;20.668;217.620;686;27.825
;;01057  PLOEN;8.113;7.848;58;207;1.171;82.080;32.018;36.413;12.491;1.158;3.961;8.689;2.809;29;4.543;31.815;635;119;5.856;2.373;2.961;60;147;52;96;167;-;4.389;254;3.510;625;654;11.018;101.211;782;17.744
;;01058  RENDSBURG-ECKERNFOERDE;16.354;15.817;132;405;2.289;178.191;64.347;83.669;27.534;2.641;8.414;18.985;5.637;11;11.527;66.522;649;134;13.594;4.973;7.026;227;452;183;232;500;1;10.604;566;8.613;1.425;1.563;25.895;220.440;802;40.039
;;01059  SCHLESWIG-FLENSBURG;12.649;12.113;87;449;1.754;132.284;44.897;62.720;22.672;1.995;5.942;14.852;4.790;48;8.778;48.202;653;184;10.944;4.692;5.114;87;299;114;204;428;6;10.984;1.347;8.317;1.320;1.111;23.223;168.156;830;38.560
;;01060  SEGEBERG;16.353;15.874;152;327;2.319;172.484;64.138;79.359;26.478;2.509;8.871;19.996;4.624;17;16.522;64.458;620;74;13.267;5.051;6.322;278;689;205;206;511;5;7.092;995;5.258;839;1.209;21.642;210.479;757;32.957
;;01061  STEINBURG;8.873;8.476;70;327;1.267;83.219;31.596;38.276;12.344;1.003;3.636;8.111;2.280;16;5.894;29.858;637;108;6.222;2.362;3.044;73;185;76;119;357;6;5.423;371;4.466;586;605;12.358;104.450;799;20.302
;;01062  STORMARN;13.816;13.529;107;180;1.945;155.952;56.550;72.442;24.554;2.406;9.221;18.494;3.809;60;18.370;56.575;637;28;12.942;4.612;6.540;169;705;301;254;352;9;4.652;897;3.208;547;1.494;19.116;188.884;771;25.085
SCHLESWIG-HOLSTEIN INSGESAMT;;;158.282;153.434;1.330;3.518;22.257;1.731.189;644.786;794.244;267.334;24.825;84.263;188.912;49.446;817;150.299;635.444;595;2.503;136.482;54.285;65.294;1.774;4.893;2.278;2.875;5.031;52;80.361;9.363;61.269;9.729;14.311;233.657;2.123.128;729;349.566
THUERINGEN;;16051  ERFURT, STADT;7.598;7.407;61;130;888;99.026;38.182;48.887;10.855;1.102;2.200;12.052;1.126;66;12.477;33.556;463;77;9.018;4.125;3.575;270;377;161;219;288;3;1.278;253;946;79;1.210;11.583;118.207;553;11.735
;;16052  GERA, STADT;2.958;2.880;14;64;332;46.017;19.047;22.084;4.526;360;908;5.446;439;30;4.109;16.511;500;71;3.472;1.496;1.542;93;146;52;89;53;1;772;80;600;92;236;4.551;53.526;581;5.693
;;16053  JENA, STADT;3.296;3.230;15;51;340;45.365;17.105;23.219;4.569;472;790;5.802;585;17;5.236;15.133;410;66;3.172;1.550;1.223;85;117;75;69;52;1;519;42;430;47;273;4.030;52.691;476;4.435
;;16054  SUHL, STADT;1.736;1.683;13;40;176;20.111;8.372;9.519;2.076;144;372;3.905;259;8;1.653;7.256;553;42;1.689;636;824;43;73;31;31;51;-;433;43;363;27;126;2.290;24.137;663;3.031
;;16055  WEIMAR, STADT;2.197;2.155;13;29;270;30.681;12.248;14.474;3.144;815;713;3.476;379;15;3.839;10.982;471;43;2.155;965;979;55;70;30;40;15;1;325;18;267;40;172;2.695;35.573;546;3.301
;;16061  EICHSFELD;5.672;5.299;27;346;601;60.926;22.468;30.920;7.022;516;1.171;8.411;599;20;3.626;20.971;613;100;7.525;3.060;3.282;215;344;146;171;304;3;4.802;668;3.624;510;563;12.990;79.588;800;14.529
;;16062  NORDHAUSEN;4.102;3.909;21;172;486;47.500;18.681;23.569;4.972;278;1.001;6.100;475;23;3.688;17.209;576;88;3.929;1.598;1.757;153;162;73;67;118;1;2.504;206;2.148;150;488;7.009;58.611;711;10.838
;;16063  WARTBURGKREIS;9.027;8.518;65;444;931;95.383;37.905;46.530;10.294;654;2.035;14.238;1.300;40;6.641;34.686;596;183;7.961;3.104;3.711;240;342;110;122;327;5;5.918;451;4.700;767;761;14.823;119.233;745;20.572
;;16064  UNSTRUT-HAINICH-KREIS;5.274;4.983;35;256;552;57.158;21.769;28.691;6.265;433;1.217;7.208;624;26;3.726;20.087;562;120;7.148;3.149;3.009;158;283;118;181;248;2;3.563;315;2.834;414;560;11.391;73.823;726;14.309
;;16065  KYFFHAEUSERKREIS;4.451;4.193;19;239;487;44.323;17.651;22.190;4.246;236;787;5.233;364;8;2.750;16.094;603;82;3.933;1.748;1.709;140;153;44;66;73;-;3.342;135;2.915;292;442;7.799;56.573;769;10.015
;;16066  SCHMALKALDEN-MEININGEN;7.259;6.973;35;251;707;76.359;29.395;38.304;8.171;489;1.515;14.161;937;28;5.398;28.250;615;156;7.968;3.007;3.611;260;405;193;199;292;1;4.894;344;3.857;693;677;13.695;97.313;783;17.653
;;16067  GOTHA;6.633;6.335;52;246;731;76.731;29.938;37.851;8.420;522;1.707;10.467;931;33;5.861;28.306;570;134;7.668;3.041;3.378;262;344;111;187;342;3;3.386;315;2.745;326;748;11.936;95.300;708;16.285
;;16068  SOEMMERDA;4.113;3.844;39;230;464;40.659;15.971;20.192;4.272;224;747;4.753;387;27;2.666;14.913;588;64;4.709;1.949;2.074;132;212;89;67;184;2;2.593;170;2.188;235;409;7.775;52.547;760;10.235
;;16069  HILDBURGHAUSEN;3.948;3.762;27;159;366;39.236;15.168;20.076;3.782;210;637;6.559;414;6;1.932;15.043;626;85;3.940;1.599;1.728;135;189;70;107;112;-;3.534;107;2.840;587;353;7.912;51.096;816;10.968
;;16070  ILM-KREIS;5.579;5.383;33;163;685;59.092;23.331;28.846;6.353;562;1.027;9.551;694;26;4.423;21.356;560;99;5.582;2.237;2.635;166;224;63;105;150;2;2.740;279;2.202;259;499;8.920;73.591;697;11.994
;;16071  WEIMARER-LAND;5.153;4.927;34;192;593;48.804;19.698;23.700;5.051;355;931;6.293;564;13;3.159;18.421;593;120;6.012;2.463;2.719;173;260;124;115;158;-;3.287;151;2.774;362;432;9.851;63.808;775;11.307
;;16072  SONNEBERG;3.346;3.241;12;93;394;34.867;15.103;16.242;3.317;205;613;7.222;238;27;2.117;13.183;611;60;2.884;1.095;1.346;85;141;59;54;104;-;1.912;136;1.432;344;243;5.099;43.312;759;6.845
;;16073  SAALFELD-RUDOLSTADT;6.375;6.139;31;205;636;60.360;25.161;29.048;5.829;322;1.010;10.118;613;28;3.200;22.081;591;219;6.338;2.548;2.991;202;233;75;105;183;1;4.479;170;3.576;733;534;11.570;78.305;767;14.295
;;16074  SAALE-HOLZLANDKREIS;4.896;4.719;23;154;505;49.777;20.114;24.129;5.185;349;880;6.786;583;25;3.065;18.740;601;110;5.250;2.204;2.287;133;233;88;129;176;-;4.171;309;3.253;609;502;10.033;64.706;781;12.026
;;16075  SAALE-ORLA-KREIS;5.139;4.934;19;186;542;50.465;20.900;24.566;4.745;254;798;7.393;471;23;4.096;18.706;634;27;5.791;2.190;2.733;167;223;96;137;243;2;5.390;300;4.120;970;492;11.700;67.304;845;15.772
;;16076  GREIZ;5.996;5.791;29;176;643;60.165;24.961;28.746;6.155;303;1.177;8.265;623;15;4.264;22.875;622;95;7.364;2.884;3.193;224;321;172;242;326;2;4.263;444;3.331;488;664;12.386;78.547;813;14.548
;;16077  ALTENBURGER LAND;5.055;4.930;35;90;519;51.456;21.694;24.766;4.735;261;911;5.068;424;18;3.692;18.867;582;88;4.906;2.112;1.997;166;230;95;125;178;3;1.824;314;1.403;107;426;7.244;63.755;722;10.702
THÜRINGEN INSGESAMT;;;109.803;105.235;652;3.916;11.848;1.194.461;474.862;586.549;123.984;9.066;23.147;168.507;13.029;522;91.618;433.226;563;2.129;118.414;48.760;52.303;3.557;5.082;2.075;2.627;3.977;33;65.929;5.250;52.548;8.131;10.810;197.282;1.501.546;708;251.088
SONSTIGE;;;3.945;3.888;20;37;9;42.309;10.672;23.110;7.907;620;1.884;7.299;503;69;6.035;221;-;76;1.426;368;769;52;42;28;114;50;3;732;20;431;281;9.345;11.579;57.833;-;6.679
DEUTSCHLAND INSGESAMT;;;4.780.854;4.626.490;52.348;102.016;639.598;48.540.878;17.705.892;23.409.181;6.799.256;626.549;2.226.698;6.220.889;767.325;22.312;5.234.060;16.800.380;584;80.225;3.550.814;1.328.482;1.690.116;53.263;173.878;67.632;83.004;153.217;1.222;2.349.429;222.279;1.705.005;422.145;333.246;6.313.714;59.635.446;718;8.102.581
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hinweis:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Die Werte für die Pkw- sowie Kfz-Dichte auf 1.000 Einwohner im Wartburgkreis wurden revidiert.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Hinweis zu ""Hubraum unbekannt"": Einschließlich Fahrzeuge mit Rotationskolbenmotor und Elektromotor.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
© Kraftfahrt-Bundesamt, Flensburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
